datasetID,accessible,institution,dataStructure,cdm_data_type,class,title,minLongitude,maxLongitude,longitudeSpacing,minLatitude,maxLatitude,latitudeSpacing,minAltitude,maxAltitude,minTime,maxTime,timeSpacing,griddap,subset,tabledap,MakeAGraph,sos,wcs,wms,files,fgdc,iso19115,metadata,sourceUrl,infoUrl,rss,email,testOutOfDate,outOfDate,summary
cubes_fact_samples_southwest,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Samples, Southwest",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_samples_southwest.subset,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_samples_southwest,https://www.diver.orr.noaa.gov/erddap/tabledap/cubes_fact_samples_southwest.graph,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/cubes_fact_samples_southwest/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/cubes_fact_samples_southwest.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=cubes_fact_samples_southwest&showErrors=false&email=,,NaN,Samples - Southwest. NOAA ORR data from a local source.
stage_study_notes_greatlakes_qm_public_only,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Study Notes, Great Lakes",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,,https://www.diver.orr.noaa.gov/erddap/tabledap/stage_study_notes_greatlakes_qm_public_only,,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/stage_study_notes_greatlakes_qm_public_only/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/stage_study_notes_greatlakes_qm_public_only.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=stage_study_notes_greatlakes_qm_public_only&showErrors=false&email=,,NaN,Study Notes - Great Lakes. NOAA ORR data from a local source.
stage_study_notes_northeast_qm_public_only,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Study Notes, Northeast",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,,https://www.diver.orr.noaa.gov/erddap/tabledap/stage_study_notes_northeast_qm_public_only,,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/stage_study_notes_northeast_qm_public_only/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/stage_study_notes_northeast_qm_public_only.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=stage_study_notes_northeast_qm_public_only&showErrors=false&email=,,NaN,Study Notes - Northeast. NOAA ORR data from a local source.
stage_study_notes_northwest_qm_public_only,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Study Notes, Northwest",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,,https://www.diver.orr.noaa.gov/erddap/tabledap/stage_study_notes_northwest_qm_public_only,,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/stage_study_notes_northwest_qm_public_only/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/stage_study_notes_northwest_qm_public_only.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=stage_study_notes_northwest_qm_public_only&showErrors=false&email=,,NaN,Study Notes - Northwest. NOAA ORR data from a local source.
stage_study_notes_southeast_qm_public_only,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Study Notes, Southeast",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,,https://www.diver.orr.noaa.gov/erddap/tabledap/stage_study_notes_southeast_qm_public_only,,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/stage_study_notes_southeast_qm_public_only/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/stage_study_notes_southeast_qm_public_only.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=stage_study_notes_southeast_qm_public_only&showErrors=false&email=,,NaN,Study Notes - Southeast. NOAA ORR data from a local source.
stage_study_notes_southwest_qm_public_only,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Study Notes, Southwest",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,,https://www.diver.orr.noaa.gov/erddap/tabledap/stage_study_notes_southwest_qm_public_only,,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/stage_study_notes_southwest_qm_public_only/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/stage_study_notes_southwest_qm_public_only.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=stage_study_notes_southwest_qm_public_only&showErrors=false&email=,,NaN,Study Notes - Southwest. NOAA ORR data from a local source.
stage_studyref_greatlakes_qm_public_only,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Study References, Great Lakes",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,,https://www.diver.orr.noaa.gov/erddap/tabledap/stage_studyref_greatlakes_qm_public_only,,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/stage_studyref_greatlakes_qm_public_only/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/stage_studyref_greatlakes_qm_public_only.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=stage_studyref_greatlakes_qm_public_only&showErrors=false&email=,,NaN,Study References - Great Lakes
stage_studyref_northeast_qm_public_only,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Study References, Northeast",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,,https://www.diver.orr.noaa.gov/erddap/tabledap/stage_studyref_northeast_qm_public_only,,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/stage_studyref_northeast_qm_public_only/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/stage_studyref_northeast_qm_public_only.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=stage_studyref_northeast_qm_public_only&showErrors=false&email=,,NaN,Study References - Northeast. NOAA ORR data from a local source.
stage_studyref_northwest_qm_public_only,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Study References, Northwest",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,,https://www.diver.orr.noaa.gov/erddap/tabledap/stage_studyref_northwest_qm_public_only,,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/stage_studyref_northwest_qm_public_only/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/stage_studyref_northwest_qm_public_only.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=stage_studyref_northwest_qm_public_only&showErrors=false&email=,,NaN,Study References - Northwest. NOAA ORR data from a local source.
stage_studyref_southeast_qm_public_only,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Study References, Southeast",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,,https://www.diver.orr.noaa.gov/erddap/tabledap/stage_studyref_southeast_qm_public_only,,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/stage_studyref_southeast_qm_public_only/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/stage_studyref_southeast_qm_public_only.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=stage_studyref_southeast_qm_public_only&showErrors=false&email=,,NaN,Study References - Southeast. NOAA ORR data from a local source.
stage_studyref_southwest_qm_public_only,public,NOAA ORR,table,Other,EDDTableFromDatabase,"Study References, Southwest",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,,https://www.diver.orr.noaa.gov/erddap/tabledap/stage_studyref_southwest_qm_public_only,,,,,,,,https://www.diver.orr.noaa.gov/erddap/info/stage_studyref_southwest_qm_public_only/index,(source database),https://www.diver.orr.noaa.gov/web/guest/data-overview,https://www.diver.orr.noaa.gov/erddap/rss/stage_studyref_southwest_qm_public_only.rss,https://www.diver.orr.noaa.gov/erddap/subscriptions/add.html?datasetID=stage_studyref_southwest_qm_public_only&showErrors=false&email=,,NaN,Study References - Southwest. NOAA ORR data from a local source.
